交易唯一编号,客户名称,主体名称,账户类型,本方名称,本方账户,开户行,交易时间,对手名称,对手账户,收入金额,支出金额,交易金额,账户余额,虚拟账户余额,银行备注,账户方附言,收支方向,一级标签,二级标签,三级标签,标签来源,标签置信度,命中关键词,交易渠道,来源文件名,来源行号
TX000017,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-10 09:10:00,报关行甲,,,103827.93,-103827.93,808496.33,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,17
TX000018,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-10 14:55:00,江苏锦祺供应链,,125578.87,,125578.87,934075.2,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,18
TX000019,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-11 11:09:00,燃油供应公司,,,173853.53,-173853.53,760221.67,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,19
TX000020,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-11 15:53:00,上海建工集团,,108143.61,,108143.61,868365.28,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,20
TX000021,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-12 17:36:00,北京诚栋集成房屋,,75357.03,,75357.03,943722.31,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,21
TX000022,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-13 08:29:00,物流仓储乙,,,238053.75,-238053.75,705668.56,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,22
TX000023,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-13 09:30:00,物流仓储乙,,,104170.94,-104170.94,601497.62,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,23
TX000024,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-14 09:21:00,北京诚栋集成房屋,,394173.69,,394173.69,995671.31,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,24
TX000025,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-14 09:23:00,中远海运,,,10055.99,-10055.99,985615.32,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,25
TX000026,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-14 10:40:00,中远海运,,,219839.77,-219839.77,765775.55,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,26
TX000027,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-15 15:29:00,物流仓储乙,,,97399.23,-97399.23,668376.32,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,27
TX000028,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-15 13:47:00,西轮国运代理,,52636.17,,52636.17,721012.49,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,28
TX000029,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-16 16:23:00,上海建工集团,,216207.12,,216207.12,937219.61,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,29
TX000030,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-16 12:41:00,江苏锦祺供应链,,367375.4,,367375.4,1304595.01,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,30
TX000031,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-18 16:49:00,上海建工集团,,155164.54,,155164.54,1459759.55,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,31
TX000032,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-18 11:51:00,上海建工集团,,253026.72,,253026.72,1712786.27,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,32
TX000033,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-19 08:01:00,上海港务,,,57980.32,-57980.32,1654805.95,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,33
TX000034,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-20 15:51:00,上海建工集团,,283158.34,,283158.34,1937964.29,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,34
TX000035,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-20 11:06:00,燃油供应公司,,,239200.15,-239200.15,1698764.14,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,35
TX000036,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-21 17:53:00,西轮国运代理,,97661.88,,97661.88,1796426.02,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,36
TX000037,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-23 18:07:00,燃油供应公司,,,201914.5,-201914.5,1594511.52,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,37
TX000038,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-23 18:21:00,上海港务,,,124727.86,-124727.86,1469783.66,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,38
TX000039,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-23 09:46:00,合肥中南光电,,196001.01,,196001.01,1665784.67,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,39
TX000040,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-24 15:51:00,上海建工集团,,30468.56,,30468.56,1696253.23,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,40
TX000041,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-25 13:09:00,物流仓储乙,,,245273.43,-245273.43,1450979.8,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,41
TX000042,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-26 14:55:00,北京诚栋集成房屋,,220100.8,,220100.8,1671080.6,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,42
TX000043,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-27 16:15:00,上海港务,,,16718.49,-16718.49,1654362.11,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,43
TX000044,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-28 13:57:00,合肥中南光电,,336994.1,,336994.1,1991356.21,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,44
TX000045,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-28 16:08:00,江苏锦祺供应链,,329717.87,,329717.87,2321074.08,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,45
TX000046,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-29 17:00:00,北京诚栋集成房屋,,351666.13,,351666.13,2672740.21,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,46
TX000047,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-30 08:20:00,合肥中南光电,,255258.47,,255258.47,2927998.68,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,47
TX000048,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-31 11:17:00,中远海运,,,221974.68,-221974.68,2706024.0,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,48
TX000049,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-31 09:28:00,北京诚栋集成房屋,,212931.32,,212931.32,2918955.32,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,49
TX000050,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-01-31 12:28:00,江苏锦祺供应链,,250332.32,,250332.32,3169287.64,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,50
TX000051,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-01 12:59:00,上海建工集团,,285702.8,,285702.8,3454990.44,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,51
TX000052,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-01 09:25:00,上海港务,,,211599.95,-211599.95,3243390.49,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,52
TX000053,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-01 11:42:00,北京诚栋集成房屋,,275039.07,,275039.07,3518429.56,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,53
TX000054,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-02 13:09:00,上海港务,,,235481.12,-235481.12,3282948.44,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,54
TX000055,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-02 09:25:00,上海建工集团,,387667.02,,387667.02,3670615.46,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,55
TX000056,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-03 16:25:00,上海建工集团,,81357.1,,81357.1,3751972.56,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,56
TX000057,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-03 13:01:00,上海建工集团,,155513.62,,155513.62,3907486.18,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,57
TX000058,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-03 13:33:00,现金,,187374.08,,187374.08,4094860.26,,货款,,收,现金类,现金,现金存入,规则,0.9,,网银,sample.xlsx,58
TX000059,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-04 11:56:00,北京诚栋集成房屋,,62882.98,,62882.98,4157743.24,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,59
TX000060,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-04 10:17:00,西轮国运代理,,123329.77,,123329.77,4281073.01,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,60
TX000061,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-05 16:36:00,燃油供应公司,,,107427.48,-107427.48,4173645.53,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,61
TX000062,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-06 10:27:00,中远海运,,,76974.95,-76974.95,4096670.58,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,62
TX000063,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-06 12:05:00,燃油供应公司,,,235203.93,-235203.93,3861466.65,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,63
TX000064,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-06 15:00:00,上海港务,,,25989.41,-25989.41,3835477.24,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,64
TX000065,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-07 10:02:00,报关行甲,,,232400.63,-232400.63,3603076.61,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,65
TX000066,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-07 12:03:00,上海建工集团,,376487.85,,376487.85,3979564.46,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,66
TX000067,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-08 11:18:00,西轮国运代理,,258895.02,,258895.02,4238459.48,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,67
TX000068,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-09 12:02:00,上海建工集团,,122798.5,,122798.5,4361257.98,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,68
TX000069,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-09 15:15:00,江苏锦祺供应链,,229398.67,,229398.67,4590656.65,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,69
TX000070,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-09 18:31:00,中远海运,,,167996.88,-167996.88,4422659.77,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,70
TX000071,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-10 13:12:00,燃油供应公司,,,175058.02,-175058.02,4247601.75,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,71
TX000072,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-10 08:53:00,上海港务,,,107127.45,-107127.45,4140474.3,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,72
TX000073,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-10 14:10:00,北京诚栋集成房屋,,257670.36,,257670.36,4398144.66,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,73
TX000074,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-13 08:29:00,燃油供应公司,,,153706.82,-153706.82,4244437.84,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,74
TX000075,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-13 13:35:00,西轮国运代理,,189413.35,,189413.35,4433851.19,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,75
TX000076,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-13 13:11:00,北京诚栋集成房屋,,386953.37,,386953.37,4820804.56,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,76
TX000077,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-15 11:32:00,合肥中南光电,,125992.97,,125992.97,4946797.53,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,77
TX000078,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-15 14:37:00,中远海运,,,73400.48,-73400.48,4873397.05,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,78
TX000079,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-17 16:54:00,西轮国运代理,,259274.55,,259274.55,5132671.6,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,79
TX000080,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-17 15:09:00,物流仓储乙,,,103483.95,-103483.95,5029187.65,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,80
TX000081,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-17 16:40:00,现金,,264423.39,,264423.39,5293611.04,,货款,,收,现金类,现金,现金存入,规则,0.9,,网银,sample.xlsx,81
TX000082,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-18 16:36:00,物流仓储乙,,,43433.83,-43433.83,5250177.21,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,82
TX000083,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-18 18:44:00,中远海运,,,208338.19,-208338.19,5041839.02,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,83
TX000084,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-18 13:06:00,中远海运,,,17478.53,-17478.53,5024360.49,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,84
TX000085,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-19 16:43:00,现金,,,22187.28,-22187.28,5002173.21,,货款,,支,现金类,现金,现金取款,规则,0.9,,网银,sample.xlsx,85
TX000086,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-19 16:57:00,西轮国运代理,,21259.44,,21259.44,5023432.65,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,86
TX000087,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-19 12:51:00,江苏锦祺供应链,,45099.14,,45099.14,5068531.79,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,87
TX000088,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-21 15:31:00,上海建工集团,,107679.73,,107679.73,5176211.52,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,88
TX000089,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-21 08:39:00,中远海运,,,124962.44,-124962.44,5051249.08,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,89
TX000090,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-22 12:39:00,上海建工集团,,146073.72,,146073.72,5197322.8,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,90
TX000091,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-23 09:44:00,北京诚栋集成房屋,,204603.26,,204603.26,5401926.06,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,91
TX000092,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-24 15:29:00,燃油供应公司,,,180129.02,-180129.02,5221797.04,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,92
TX000093,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-26 15:04:00,现金,,375776.65,,375776.65,5597573.69,,货款,,收,现金类,现金,现金存入,规则,0.9,,网银,sample.xlsx,93
TX000094,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-27 11:04:00,报关行甲,,,60360.93,-60360.93,5537212.76,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,94
TX000095,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-27 13:08:00,上海港务,,,189396.68,-189396.68,5347816.08,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,95
TX000096,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-27 13:14:00,物流仓储乙,,,77096.3,-77096.3,5270719.78,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,96
TX000097,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-28 15:43:00,报关行甲,,,104579.32,-104579.32,5166140.46,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,97
TX000098,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-28 14:20:00,西轮国运代理,,296329.45,,296329.45,5462469.91,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,98
TX000099,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-28 14:07:00,西轮国运代理,,20661.73,,20661.73,5483131.64,,货款,,收,经营类,主营业务,销售收入,规则,0.9,,网银,sample.xlsx,99
TX000100,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-02-29 14:55:00,燃油供应公司,,,70770.93,-70770.93,5412360.71,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,100
TX000101,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-03-02 08:53:00,燃油供应公司,,,215021.26,-215021.26,5197339.45,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,101
TX000102,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-03-02 16:20:00,上海港务,,,69837.93,-69837.93,5127501.52,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,102
TX000103,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-03-03 18:25:00,报关行甲,,,222223.97,-222223.97,4905277.55,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,103
TX000104,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-03-04 17:48:00,中远海运,,,234031.68,-234031.68,4671245.87,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,104
TX000105,上海恒道国际物流,上海恒道国际物流,对公,上海恒道国际物流,622202***8888,工商银行,2024-03-05 16:08:00,燃油供应公司,,,126538.02,-126538.02,4544707.85,,货款,,支,经营类,运营成本,采购支出,规则,0.9,,网银,sample.xlsx,105
